year,level_1,level_2,level_3,level_4,value
2013,Income Decile - 11th - 20th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Non-Durable Household Goods,18.3
2013,Income Decile - 11th - 20th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Domestic Services and Household Services,68.7
2013,Income Decile - 11th - 20th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Pharmaceutical Products,34.9
2013,Income Decile - 11th - 20th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Other Medical Products,2
2013,Income Decile - 11th - 20th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Therapeutic Appliances and Equipment,3.1
2013,Income Decile - 11th - 20th,HEALTH,OUTPATIENT SERVICES,Medical Services,62.6
2013,Income Decile - 11th - 20th,HEALTH,OUTPATIENT SERVICES,Dental Services,6.8
2013,Income Decile - 11th - 20th,HEALTH,OUTPATIENT SERVICES,Paramedical Services,10.6
2013,Income Decile - 11th - 20th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Hospital Services,44.8
2013,Income Decile - 11th - 20th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Intermediate and Long-Term Care Services,1.4
2013,Income Decile - 11th - 20th,TRANSPORT,PURCHASE OF VEHICLES,Motor Cars,70.3
2013,Income Decile - 11th - 20th,TRANSPORT,PURCHASE OF VEHICLES,Motorcycles,5
2013,Income Decile - 11th - 20th,TRANSPORT,PURCHASE OF VEHICLES,Bicycles,0.1
2013,Income Decile - 11th - 20th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Spare Parts and Accessories for Vehicles,3.5
2013,Income Decile - 11th - 20th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Fuels and Lubricants for Vehicles,43.8
2013,Income Decile - 11th - 20th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Maintenance and Repair of Vehicles,12
2013,Income Decile - 11th - 20th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Other Services in respect of Vehicles,38.3
2013,Income Decile - 11th - 20th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Railway,27.1
2013,Income Decile - 11th - 20th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Road,74.2
2013,Income Decile - 11th - 20th,TRANSPORT,LAND TRANSPORT SERVICES,Combined Passenger Transport by Railway and Road,23.9
2013,Income Decile - 11th - 20th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Air,11.5
2013,Income Decile - 11th - 20th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Sea,2.4
2013,Income Decile - 11th - 20th,TRANSPORT,OTHER TRANSPORT SERVICES,Other Transport Services,0.2
2013,Income Decile - 11th - 20th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Postal Services,0.1
2013,Income Decile - 11th - 20th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Audio-Visual Equipment and Accessories,5.2
2013,Income Decile - 11th - 20th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Optical and Photographic Goods,0.6
2013,Income Decile - 11th - 20th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Information Processing Equipment,7
2013,Income Decile - 11th - 20th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Recording Media,2
2013,Income Decile - 11th - 20th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT","Repair of Audio-Visual, Photographic and Information Processing Equipment",0.6
2013,Income Decile - 11th - 20th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS","Other Recreational Items and Equipment, Gardens and Pets",14.3
2013,Income Decile - 11th - 20th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Recreational and Sporting Services,8.1
2013,Income Decile - 11th - 20th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Cultural Services,18.1
2013,Income Decile - 11th - 20th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Games of Chance,29.4
2013,Income Decile - 11th - 20th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Books,4.5
2013,Income Decile - 11th - 20th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Newspapers and Periodicals,8.3
2013,Income Decile - 11th - 20th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Miscellaneous Printed Materials,0.3
2013,Income Decile - 11th - 20th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Stationery and Drawing Materials,4.9
2013,Income Decile - 11th - 20th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Pre-Primary and Primary Education,21.2
2013,Income Decile - 11th - 20th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Secondary Education,10.8
2013,Income Decile - 11th - 20th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Post-Secondary Education (Non-Tertiary),4.1
2013,Income Decile - 11th - 20th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Polytechnic Education,22.2
2013,Income Decile - 11th - 20th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Professional Qualification and Other Diploma Courses,7.2
2013,Income Decile - 11th - 20th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",University Education,81.2
2013,Income Decile - 11th - 20th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Home-Based Tuition,19
2013,Income Decile - 11th - 20th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Centre-Based Tuition,17.7
2013,Income Decile - 11th - 20th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Other Courses,5.9
2013,Income Decile - 11th - 20th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Hairdressing Salons and Personal Grooming Establishments,14.1
2013,Income Decile - 11th - 20th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Electrical Appliances for Personal Care,0.1
2013,Income Decile - 11th - 20th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,"Other Appliances, Articles and Products for Personal Care",40.8
2013,Income Decile - 11th - 20th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,"Jewellery, Clocks and Watches",1.3
2013,Income Decile - 11th - 20th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,Other Personal Effects,11.7
2013,Income Decile - 11th - 20th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,"Life Insurance (Term only, excluding premiums for whole-life plans with saving component)",29.5
2013,Income Decile - 11th - 20th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Housing Insurance,1.8
2013,Income Decile - 11th - 20th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Health Insurance,109.9
2013,Income Decile - 11th - 20th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Transport Insurance,18.4
2013,Income Decile - 11th - 20th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Other Insurance,4.4
2013,Income Decile - 11th - 20th,MISCELLANEOUS GOODS AND SERVICES,OTHER FINANCIAL SERVICES,Other Financial Services n.e.c,0.1
2013,Income Decile - 21st - 30th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Bread and Cereals,75.1
2013,Income Decile - 21st - 30th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Meat,70.6
2013,Income Decile - 21st - 30th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fish and Seafood,67.8
2013,Income Decile - 21st - 30th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Milk, Cheese and Eggs",43.5
2013,Income Decile - 21st - 30th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Oils and Fats,9.6
2013,Income Decile - 21st - 30th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fruits,35
2013,Income Decile - 21st - 30th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Vegetables,52.7
2013,Income Decile - 21st - 30th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Sugar, Jam, Honey, Chocolate and Confectionery",13.8
2013,Income Decile - 21st - 30th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Food Products n.e.c,14.3
2013,Income Decile - 21st - 30th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Coffee, Tea and Cocoa",11.1
2013,Income Decile - 21st - 30th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Mineral Water, Soft Drinks, Fruit and Vegetable Juices",13.4
2013,Income Decile - 21st - 30th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Spirits,1
2013,Income Decile - 21st - 30th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Wine,2.1
2013,Income Decile - 21st - 30th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Beer,5.1
2013,Income Decile - 21st - 30th,CLOTHING AND FOOTWEAR,CLOTHING,Clothing Materials,0.7
2013,Income Decile - 21st - 30th,CLOTHING AND FOOTWEAR,CLOTHING,Garments,72.4
2013,Income Decile - 21st - 30th,CLOTHING AND FOOTWEAR,CLOTHING,Other Clothing and Clothing Accessories,3.8
2013,Income Decile - 21st - 30th,CLOTHING AND FOOTWEAR,CLOTHING,"Cleaning, Repair and Hire of Clothing",0.7
2013,Income Decile - 21st - 30th,CLOTHING AND FOOTWEAR,FOOTWEAR,Shoes and Other Footwear,23.8
2013,Income Decile - 21st - 30th,CLOTHING AND FOOTWEAR,FOOTWEAR,Repair and Hire of Footwear,0.1
2013,Income Decile - 21st - 30th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Materials for Maintenance and Repair of Dwelling,2.1
2013,Income Decile - 21st - 30th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Services for Maintenance and Repair of Dwelling,5.8
2013,Income Decile - 21st - 30th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,Water Supply and Miscellaneous Services Related to Dwelling,102.8
2013,Income Decile - 21st - 30th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,"Electricity, Gas and Other Fuels",135.1
2013,Income Decile - 21st - 30th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",Furniture and Furnishings,17.6
2013,Income Decile - 21st - 30th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS","Repair of Furniture, Furnishings and Floor Coverings",0.2
2013,Income Decile - 21st - 30th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Major Household Appliances,9.6
2013,Income Decile - 21st - 30th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Small Electrical Household Appliances,7.1
2013,Income Decile - 21st - 30th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Repair of Household Appliances,2
2013,Income Decile - 21st - 30th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,Small Tools and Miscellaneous Accessories,3.5
2013,Income Decile - 21st - 30th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Non-Durable Household Goods,24.3
2013,Income Decile - 21st - 30th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Domestic Services and Household Services,83.9
2013,Income Decile - 21st - 30th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Pharmaceutical Products,42.1
2013,Income Decile - 21st - 30th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Other Medical Products,1.4
2013,Income Decile - 21st - 30th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Therapeutic Appliances and Equipment,6.9
2013,Income Decile - 21st - 30th,HEALTH,OUTPATIENT SERVICES,Medical Services,64.2
2013,Income Decile - 21st - 30th,HEALTH,OUTPATIENT SERVICES,Dental Services,4.9
2013,Income Decile - 21st - 30th,HEALTH,OUTPATIENT SERVICES,Paramedical Services,16.6
2013,Income Decile - 21st - 30th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Hospital Services,56.8
2013,Income Decile - 21st - 30th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Intermediate and Long-Term Care Services,2.7
2013,Income Decile - 21st - 30th,TRANSPORT,PURCHASE OF VEHICLES,Motor Cars,128.8
2013,Income Decile - 21st - 30th,TRANSPORT,PURCHASE OF VEHICLES,Motorcycles,8.7
2013,Income Decile - 21st - 30th,TRANSPORT,PURCHASE OF VEHICLES,Bicycles,0.3
2013,Income Decile - 21st - 30th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Spare Parts and Accessories for Vehicles,1.8
2013,Income Decile - 21st - 30th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Fuels and Lubricants for Vehicles,83
2013,Income Decile - 21st - 30th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Maintenance and Repair of Vehicles,22.5
2013,Income Decile - 21st - 30th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Other Services in respect of Vehicles,62.7
2013,Income Decile - 21st - 30th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Railway,33.2
2013,Income Decile - 21st - 30th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Road,91.7
2013,Income Decile - 21st - 30th,TRANSPORT,LAND TRANSPORT SERVICES,Combined Passenger Transport by Railway and Road,32.2
2013,Income Decile - 21st - 30th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Air,23.2
2013,Income Decile - 21st - 30th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Sea,2.4
2013,Income Decile - 21st - 30th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Postal Services,0.4
2013,Income Decile - 21st - 30th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Audio-Visual Equipment and Accessories,4.9
2013,Income Decile - 21st - 30th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Optical and Photographic Goods,0.7
2013,Income Decile - 21st - 30th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Information Processing Equipment,10.7
2013,Income Decile - 21st - 30th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Recording Media,2.6
2013,Income Decile - 21st - 30th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT","Repair of Audio-Visual, Photographic and Information Processing Equipment",0.1
2013,Income Decile - 21st - 30th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS",Other Major Durables for Recreation and Culture,0.1
2013,Income Decile - 21st - 30th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS","Other Recreational Items and Equipment, Gardens and Pets",18.5
2013,Income Decile - 21st - 30th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Recreational and Sporting Services,11.5
2013,Income Decile - 21st - 30th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Cultural Services,32.7
2013,Income Decile - 21st - 30th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Games of Chance,42.1
2013,Income Decile - 21st - 30th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Books,3.3
2013,Income Decile - 21st - 30th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Newspapers and Periodicals,10.6
2013,Income Decile - 21st - 30th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Miscellaneous Printed Materials,0.6
2013,Income Decile - 21st - 30th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Stationery and Drawing Materials,6.7
2013,Income Decile - 21st - 30th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Pre-Primary and Primary Education,32.5
2013,Income Decile - 21st - 30th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Secondary Education,9.7
2013,Income Decile - 21st - 30th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Post-Secondary Education (Non-Tertiary),4.5
2013,Income Decile - 21st - 30th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Polytechnic Education,27.8
2013,Income Decile - 21st - 30th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Professional Qualification and Other Diploma Courses,6.1
2013,Income Decile - 21st - 30th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",University Education,86.8
2013,Income Decile - 21st - 30th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Home-Based Tuition,22.2
2013,Income Decile - 21st - 30th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Centre-Based Tuition,32.8
2013,Income Decile - 21st - 30th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Other Courses,8
2013,Income Decile - 21st - 30th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Hairdressing Salons and Personal Grooming Establishments,22.9
2013,Income Decile - 21st - 30th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Electrical Appliances for Personal Care,0.2
2013,Income Decile - 21st - 30th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,"Other Appliances, Articles and Products for Personal Care",53.1
2013,Income Decile - 21st - 30th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,"Jewellery, Clocks and Watches",3.4
2013,Income Decile - 21st - 30th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,Other Personal Effects,11.5
2013,Income Decile - 21st - 30th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,"Life Insurance (Term only, excluding premiums for whole-life plans with saving component)",41.3
2013,Income Decile - 21st - 30th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Housing Insurance,2.9
2013,Income Decile - 21st - 30th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Health Insurance,127.5
2013,Income Decile - 21st - 30th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Transport Insurance,31.1
2013,Income Decile - 21st - 30th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Other Insurance,5.9
2013,Income Decile - 31st - 40th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Bread and Cereals,72
2013,Income Decile - 31st - 40th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Meat,70.6
2013,Income Decile - 31st - 40th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fish and Seafood,67.2
2013,Income Decile - 31st - 40th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Milk, Cheese and Eggs",54.9
2013,Income Decile - 31st - 40th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Oils and Fats,8.9
2013,Income Decile - 31st - 40th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fruits,39.1
2013,Income Decile - 31st - 40th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Vegetables,49.7
2013,Income Decile - 31st - 40th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Sugar, Jam, Honey, Chocolate and Confectionery",14.7
2013,Income Decile - 31st - 40th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Food Products n.e.c,13.3
2013,Income Decile - 31st - 40th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Coffee, Tea and Cocoa",11.2
2013,Income Decile - 31st - 40th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Mineral Water, Soft Drinks, Fruit and Vegetable Juices",13.7
2013,Income Decile - 31st - 40th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Spirits,0.9
2013,Income Decile - 31st - 40th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Wine,3.2
2013,Income Decile - 31st - 40th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Beer,7.4
2013,Income Decile - 31st - 40th,CLOTHING AND FOOTWEAR,CLOTHING,Clothing Materials,0.8
2013,Income Decile - 31st - 40th,CLOTHING AND FOOTWEAR,CLOTHING,Garments,80.1
2013,Income Decile - 31st - 40th,CLOTHING AND FOOTWEAR,CLOTHING,Other Clothing and Clothing Accessories,4.1
2013,Income Decile - 31st - 40th,CLOTHING AND FOOTWEAR,CLOTHING,"Cleaning, Repair and Hire of Clothing",0.7
2013,Income Decile - 31st - 40th,CLOTHING AND FOOTWEAR,FOOTWEAR,Shoes and Other Footwear,25.5
2013,Income Decile - 31st - 40th,CLOTHING AND FOOTWEAR,FOOTWEAR,Repair and Hire of Footwear,0.4
2013,Income Decile - 31st - 40th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Materials for Maintenance and Repair of Dwelling,0.9
2013,Income Decile - 31st - 40th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Services for Maintenance and Repair of Dwelling,5.2
2013,Income Decile - 31st - 40th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,Water Supply and Miscellaneous Services Related to Dwelling,105.5
2013,Income Decile - 31st - 40th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,"Electricity, Gas and Other Fuels",138.1
2013,Income Decile - 31st - 40th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",Furniture and Furnishings,21.7
2013,Income Decile - 31st - 40th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS","Repair of Furniture, Furnishings and Floor Coverings",0.2
2013,Income Decile - 31st - 40th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Major Household Appliances,13.4
2013,Income Decile - 31st - 40th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Small Electrical Household Appliances,5.3
2013,Income Decile - 31st - 40th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Repair of Household Appliances,2.1
2013,Income Decile - 31st - 40th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,Small Tools and Miscellaneous Accessories,4.1
2013,Income Decile - 31st - 40th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Non-Durable Household Goods,24.7
2013,Income Decile - 31st - 40th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Domestic Services and Household Services,112.7
2013,Income Decile - 31st - 40th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Pharmaceutical Products,49.9
2013,Income Decile - 31st - 40th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Other Medical Products,1
2013,Income Decile - 31st - 40th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Therapeutic Appliances and Equipment,6.3
2013,Income Decile - 31st - 40th,HEALTH,OUTPATIENT SERVICES,Medical Services,55.5
2013,Income Decile - 31st - 40th,HEALTH,OUTPATIENT SERVICES,Dental Services,13.2
2013,Income Decile - 31st - 40th,HEALTH,OUTPATIENT SERVICES,Paramedical Services,15.5
2013,Income Decile - 31st - 40th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Hospital Services,48.1
2013,Income Decile - 31st - 40th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Intermediate and Long-Term Care Services,0.6
2013,Income Decile - 31st - 40th,TRANSPORT,PURCHASE OF VEHICLES,Motor Cars,148.6
2013,Income Decile - 31st - 40th,TRANSPORT,PURCHASE OF VEHICLES,Motorcycles,17.1
2013,Income Decile - 31st - 40th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Spare Parts and Accessories for Vehicles,4.5
2013,Income Decile - 31st - 40th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Fuels and Lubricants for Vehicles,97.1
2013,Income Decile - 31st - 40th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Maintenance and Repair of Vehicles,25.4
2013,Income Decile - 31st - 40th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Other Services in respect of Vehicles,70.8
2013,Income Decile - 31st - 40th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Railway,39
2013,Income Decile - 31st - 40th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Road,98.7
2013,Income Decile - 31st - 40th,TRANSPORT,LAND TRANSPORT SERVICES,Combined Passenger Transport by Railway and Road,33.3
